id,value
flare.MaleAristocrat110285135.Knight110238375,8879
flare.Macromolecule114944888.Protein114728724,8778
flare.Assistant109815790.Model110324560,8763
flare.Substance100020090.Food100021265,8686
flare.Music107020895.Section106392001,8670
flare.Writing106362953.Section106392001,8670
flare.HockeyPlayer110179291.Goalkeeper110134001,8648
flare.SoccerPlayer110618342.Goalkeeper110134001,8648
flare.MilitaryOfficer110317007.CommandingOfficer109941964,8614
flare.Institution108053576.FinancialInstitution108054721,8579
flare.LanguageUnit106284225.Name106333653,8522
flare.Educator110045713.Teacher110694258,8473
flare.Form106290637.Abbreviation107091587,8457
flare.SocialGroup107950920.Body107965085,8411
flare.Person100007846.ReligiousPerson109628382,8262
flare.Section106392001.Episode106396330,8240
flare.Craft103125870.Vessel104530566,8232
flare.Composer109947232.Songwriter110624540,8176
flare.Condition113920835.PhysicalCondition114034177,8137
flare.SkilledWorker110605985.Editor110044879,8074
flare.Message106598915.Information106634376,8069
flare.Diplomat110013927.Ambassador109787534,8064
flare.AdministrativeUnit108077292.Agency108337324,8061
flare.Athlete109820263.Runner110542888,8031
flare.Area108497294.Center108523483,8019
flare.Artist109812338.Photographer110426749,7962
flare.Worker109632518.Boatman109861946,7957
flare.Show106619065.Broadcast106619428,7952
flare.Communication100033020.Indication106797169,7945
flare.Indication106797169.Evidence106643408,7904
flare.TimePeriod115113229.Festival115162388,7881
flare.NaturalObject100019128.CelestialBody109239740,7836
flare.Performer110415638.Comedian109940146,7835
flare.Unfortunate109630641.Victim110752093,7814
flare.Instrument103574816.Weapon104565375,7791
flare.Noble110271677.Peer110412910,7742
flare.Ballplayer109835506.Fielder110086568,7627
flare.Kind105839024.Genus105845013,7516
flare.Scientist110560637.Mathematician110301261,7405
flare.Athlete109820263.Swimmer110683349,7338
flare.EndProduct103287178.Oeuvre103841417,7315
flare.Product104007894.EndProduct103287178,7315
flare.SystemOfMeasurement113577171.Standard107260623,7291
flare.Measure100033615.SystemOfMeasurement113577171,7291
flare.Vessel104530566.Ship104194289,7278
flare.Unit108189659.PoliticalUnit108359949,7230
flare.FootballPlayer110101634.Back109830194,7219
flare.Writing106362953.DramaticComposition107007684,7214
flare.GoodPerson110138767.Saint110546850,7200
flare.PhysicalEntity100001930.Process100029677,7142
flare.Writer110794014.Dramatist110030277,7069
flare.PoliticalUnit108359949.State108168978,7013
flare.Rider110529965.Pedaler110411163,7012
flare.Pedaler110411163.Cyclist109986189,7001
flare.Structure104341686.Establishment103297735,6988
flare.Activity100407535.Work100575741,6987
flare.Music107020895.MusicGenre107071942,6903
flare.ExpressiveStyle107066659.MusicGenre107071942,6903
flare.Defender109614684.Guard110150071,6879
flare.Communicator109610660.Presenter110466387,6859
flare.Association108049401.League108231184,6857
flare.Document106470073.LegalDocument106479665,6855
flare.Combatant109939313.Boxer109870208,6853
flare.Musician110340312.Pianist110430665,6804
flare.Evidence106643408.Record106647206,6788
flare.Machine103699975.Computer103082979,6781
flare.Kind105839024.Type105840188,6768
flare.Group100031264.EthnicGroup107967382,6720
flare.MotorVehicle103791235.Car102958343,6705
flare.Creation103129123.Art102743547,6690
flare.MilitaryOfficer110317007.ArmyOfficer109809749,6688
flare.Attribute100024264.Shape100027807,6666
flare.Group100031264.Arrangement107938773,6601
flare.DramaticComposition107007684.Play107007945,6548
flare.PathologicalState114051917.IllHealth114052046,6509
flare.PhysicalCondition114034177.PathologicalState114051917,6509
flare.Person100007846.Linguist110264219,6501
flare.Linguist110264219.Translator110725280,6501
flare.Line103671473.Railway104048568,6494
flare.Act100030358.SpeechAct107160883,6481
flare.Artist109812338.Sculptor110566072,6475
flare.Combatant109939313.Wrestler110793168,6457
flare.Center108523483.Seat108647945,6432
flare.Specialist110631941.InteriorDesigner110210648,6425
flare.Publication106589574.Periodical106593296,6390
flare.Tract108673395.Subdivision108674251,6347
flare.BroadcastingStation102903405.TelevisionStation104406350,6308
flare.Season115239579.FootballSeason115240998,6300
flare.Structure104341686.Bridge102898711,6204
flare.TimePeriod115113229.Year115203791,6196
flare.Movie106613686.Documentary106616806,6189
flare.House103544360.Mansion103719053,6164
flare.Vertebrate101471682.Reptile101661091,6163
flare.Contest107456188.Race107472657,6154
flare.Coach109931640.FootballCoach110101202,6117
flare.Point108620061.Position108621598,6090
flare.MusicalOrganization108246613.DanceBand108249960,6008
flare.Business108061042.Firm108059870,6004
flare.Instrumentality103575240.Equipment103294048,6004
flare.Region108630039.County108546183,5985
flare.IllHealth114052046.Illness114061805,5964
flare.Illness114061805.Disease114070360,5922
flare.DanceBand108249960.RockGroup108250501,5916
flare.Associate109816771.Participant110401829,5888
flare.SocialScientist110619642.Economist110043643,5871
flare.Person100007846.Friend110112591,5870
flare.Athlete109820263.Skier110605253,5821
flare.TelevisionStation104406350.Channel103006398,5812
flare.AdministrativeDistrict108491826.Country108544813,5746
flare.Scholar110557854.Theologian110705615,5738
flare.Mansion103719053.Palace103878066,5738
flare.Content105809192.Belief105941423,5704
flare.Friend110112591.Companion109945905,5703
flare.Person100007846.Relative110235549,5665
flare.Player110439851.TennisPlayer110701180,5659
flare.Athlete109820263.TennisPlayer110701180,5659
flare.Body107965085.Constituency108238156,5624
flare.Creator109614315.Inventor110214637,5624
flare.SkilledWorker110605985.Aviator109826204,5623
flare.District108552138.ResidentialDistrict108553535,5619
flare.Information106634376.Database106637824,5564
flare.Database106637824.List106481320,5529
flare.Measure100033615.DefiniteQuantity113576101,5508
flare.Cognition100023271.Process105701363,5494
flare.Signal106791372.Recording104063661,5453
flare.Change100191142.Motion100279835,5449
flare.ResidentialDistrict108553535.Suburb108554440,5447
flare.Athlete109820263.Winger110782471,5391
flare.Structure104341686.Obstruction103839993,5388
flare.Broadcast106619428.TelevisionProgram106620579,5348
flare.Process100029677.Phenomenon100034213,5341
flare.Performer110415638.Dancer109989502,5319
flare.Motion100279835.Travel100295701,5310
flare.Associate109816771.Member110307234,5253
flare.Obstruction103839993.Barrier102796623,5202
flare.Person100007846.Advocate109774783,5197
flare.Announcement106746580.Program106748466,5186
flare.Statement106722453.Announcement106746580,5186
flare.Travel100295701.Journey100306426,5167
flare.Substance100019613.Activator114723079,5145
flare.Activator114723079.Catalyst114723628,5144
flare.Structure104341686.Area102735688,5116
flare.Doctor110020890.Specialist110632576,5108
flare.TaxonomicGroup107992450.Genus108108972,5102
flare.Person100007846.Convert109962414,5088
flare.Happening107283608.Incident107307477,5073
flare.Communicator109610660.Broadcaster109875786,5065
flare.Structure104341686.Memorial103743902,5061
flare.Leader109623038.Superior110676018,5050
flare.Protein114728724.Enzyme114732946,5048
flare.Catalyst114723628.Enzyme114732946,5048
flare.Thing100002452.Part109385911,5035
flare.Establishment103297735.PlaceOfBusiness103953020,5024
flare.AdministrativeDistrict108491826.SchoolDistrict108587709,5018
flare.Player110439851.Golfer110136959,5017
flare.Substance100020090.Agent114778436,5015
flare.CausalAgent100007347.Agent114778436,5015
flare.State100024720.Status113945919,5009
flare.Superior110676018.Supervisor110676877,5009
flare.Location100027167.Line108593262,4981
flare.SkilledWorker110605985.Sailor110546633,4927
flare.Articulator109811712.Speaker110630188,4892
flare.Communicator109610660.Articulator109811712,4892
flare.Part109385911.BodyPart105220461,4880
flare.Know-how105616786.Method105660268,4854
flare.Ability105616246.Know-how105616786,4854
flare.Happening107283608.Case107308889,4850
flare.GoodPerson110138767.Benefactor109608709,4845
flare.Activity100407535.Operation100955060,4814
flare.Athlete109820263.Skater110604491,4807
flare.Person100007846.Explorer110072708,4805
flare.Intellectual109621545.Theorist110706812,4792
flare.Thoroughfare104426618.Street104334599,4774
flare.Road104096066.Thoroughfare104426618,4774
flare.Person100007846.National109625401,4757
flare.Agent114778436.Drug103247620,4746
flare.Head110162991.Secretary110570019,4746
flare.VascularPlant113083586.WoodyPlant113103136,4721
flare.Relation100031921.Possession100032613,4681
flare.SocialScientist110619642.Anthropologist109796323,4655
flare.Computer103082979.WebSite106359193,4642
flare.Runner110542888.Sprinter110641413,4616
flare.Scientist110560637.Chemist109913824,4597
flare.MotorVehicle103791235.Amphibian102704792,4595
flare.WoodyPlant113103136.Tree113104059,4594
flare.Biologist109855630.Zoologist110806222,4585
flare.Position108621598.Landmark108624891,4543
flare.Bishop109857200.Archbishop109805151,4485
flare.Building102913152.MedicalBuilding103739518,4470
flare.MedicalBuilding103739518.Hospital103540595,4467
flare.Communication100033020.VisualCommunication106873252,4464
flare.Group100031264.People107942152,4451
flare.CausalAgent100007347.Operator110378412,4436
flare.Operator110378412.Driver110034906,4429
flare.Process105701363.HigherCognitiveProcess105770664,4416
flare.Idea105833840.Plan105898568,4415
flare.Expert109617867.Authority109824361,4413
flare.Artifact100021939.Commodity103076708,4410
flare.Belief105941423.SpiritualBeing109504135,4397
flare.List106481320.Catalog106487897,4389
flare.Activity100407535.Game100455599,4387
flare.Placental101886756.Ungulate102370806,4384
flare.Happening107283608.Trouble107289014,4372
flare.Vehicle104524313.MilitaryVehicle103764276,4365
flare.Member110307234.CouncilMember109944763,4360
flare.Trouble107289014.Misfortune107304852,4346
flare.Area102735688.Room104105893,4334
flare.Barrier102796623.Dam103160309,4331
flare.HigherCognitiveProcess105770664.Thinking105770926,4323
flare.LepidopterousInsect102274024.Butterfly102274259,4319
flare.ArmyUnit108190754.Regiment108213817,4318
flare.Concept105835747.Whole105869584,4315
flare.Boatman109861946.Canoeist109891470,4296
flare.Artist109812338.Illustrator109812068,4295
flare.School108276720.GradeSchool108412749,4279
flare.Back109830194.RunningBack110543161,4266
flare.Sovereign110628644.King110231515,4251
flare.Show106619065.Attraction106615561,4242
flare.Catalog106487897.Discography106488224,4241
flare.MusicGenre107071942.ClassicalMusic107025900,4234
flare.GeologicalFormation109287968.Range109403734,4225
flare.Building102913152.Skyscraper104233124,4207
flare.CommissionedOfficer109942970.CommissionedNavalOfficer109943541,4201
flare.Facility103315023.MilitaryInstallation103763133,4198
flare.Benefactor109608709.Donor110025730,4186
flare.Writing106362953.Matter106365467,4164
flare.Line103671473.Airline102690081,4150
flare.FlagOfficer110094584.Admiral109771204,4139
flare.CommissionedNavalOfficer109943541.FlagOfficer110094584,4139
flare.Matter106365467.Text106387980,4131
flare.School108276720.PrivateSchool108411170,4129
flare.Worker109632518.Employee110053808,4116
flare.TaxonomicGroup107992450.Variety108101085,4069
flare.Building102913152.Hotel103542333,4052
flare.Coach109931640.BaseballCoach109841515,4045
flare.Professional110480253.Critic109979589,4035
flare.Fielder110086568.Outfielder110386984,4028
flare.Collection107951464.Class107997703,4028
flare.Point108620061.GeographicPoint108578706,4026
flare.Self-propelledVehicle104170037.Locomotive103684823,4016
flare.Donor110025730.Philanthropist110421956,4005
flare.Building102913152.Theater104417809,3997
flare.Scientist110560637.Linguist110264437,3980
