id,value
flare.Seat108647945.CountySeat108547143,3597
flare.Foundation108406486.Charity108406619,3595
flare.Branch109228324.Feeder109278997,3577
flare.Articulator109811712.Speaker110630188,3570
flare.Building102913152.Theater104417809,3563
flare.Writer110794014.Essayist110064405,3557
flare.Scientist110560637.Chemist109913824,3540
flare.RunningBack110543161.Fullback110115430,3495
flare.MilitaryAction100952963.War100973077,3493
flare.Percussionist110415037.Drummer110036929,3484
flare.AdministrativeDistrict108491826.State108654360,3472
flare.Building102913152.Hotel103542333,3466
flare.Winner110782791.PrizeWinner109627807,3450
flare.Journey100306426.Tour100310666,3434
flare.Road104096066.Highway103519981,3427
flare.Runner110542888.Marathoner110292969,3426
flare.Biologist109855630.Botanist109868270,3403
flare.Idea105833840.Plan105898568,3398
flare.Group100031264.People107942152,3392
flare.Noble110271677.Count109969218,3385
flare.Station104306080.PowerStation103996655,3360
flare.Person100007846.Contestant109613191,3338
flare.FinancialInstitution108054721.DepositoryFinancialInstitution108420278,3338
flare.Formula106816935.MolecularFormula106817173,3327
flare.Horse102374451.Racehorse102382948,3325
flare.Athlete109820263.Skater110604491,3324
flare.Aristocrat109807754.Baronet109840639,3303
flare.Whole105869584.Compound105870180,3298
flare.Draftsman110029068.Cartoonist109898346,3290
flare.Team108208560.HockeyTeam108080386,3267
flare.Cavalry108389710.Squadron108220089,3247
flare.MinorPlanet109355623.Asteroid109208702,3223
flare.Method105660268.Technique105665146,3196
flare.Official110372373.CivilServant109925459,3185
flare.Firm108059870.Publisher108062623,3177
flare.Scientist110560637.ResearchWorker110523076,3174
flare.Instrument103574816.Weapon104565375,3160
flare.Building102913152.GovernmentBuilding103449564,3155
flare.ArmyUnit108190754.Division108213205,3148
flare.Name106333653.TradeName106845599,3125
flare.SocialGroup107950920.Tribe108372411,3122
flare.MilitaryPost103763403.Garrison103420559,3116
flare.MercantileEstablishment103748162.Plaza103965456,3107
flare.Player110439851.Golfer110136959,3106
flare.CelestialBody109239740.Planet109394007,3091
flare.Singer110599806.Rapper110507482,3078
flare.Writing106362953.Manuscript106406979,3077
flare.Physicist110428004.Astronomer109818343,3034
flare.Park108615149.NationalPark108600992,3031
flare.Jurisdiction108590369.Diocese108550966,3012
flare.League108231184.FootballLeague108232496,2991
flare.Supervisor110676877.Director110015215,2979
flare.Aristocrat109807754.Prince110472799,2950
flare.SkilledWorker110605985.Aviator109826204,2933
flare.Lighter103666591.Match103728437,2914
flare.Macromolecule114944888.Protein114728724,2906
flare.Expert109617867.Jurist110227985,2899
flare.MotorVehicle103791235.Car102958343,2898
flare.System108435388.Network108434259,2896
flare.Organism100004475.Fungus112992868,2892
flare.Originator110383816.Pioneer110434725,2874
flare.Reformer110515194.Feminist110084635,2852
flare.Peer110412910.Earl110041373,2849
flare.ReligiousPerson109628382.ReligiousLeader110519494,2840
flare.Leader109623038.ReligiousLeader110519494,2840
flare.Scientist110560637.ComputerScientist109951070,2834
flare.ComputerUser109951274.ComputerScientist109951070,2834
flare.Story106369829.ShortStory106371999,2818
flare.Scientist110560637.Psychologist110488865,2814
flare.Person100007846.Traveler109629752,2798
flare.Unfortunate109630641.Survivor110681194,2794
flare.FootballPlayer110101634.Linebacker110263002,2767
flare.IceMass109309292.Glacier109289331,2759
flare.Financier110090020.Banker109837824,2756
flare.Instrumentality103575240.System104377057,2716
